"keywords","budget","genres","original_language","overview","production_companies","production_countries","runtime","title","rating"
"underdog, prison, factory worker, prisoner, helsinki, independent film, falling in love","0","Drama, Crime","fi","Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...","Villealfa Filmproduction Oy, Finnish Film Foundation","Finland","69.0","Ariel","7.1"
"salesclerk, helsinki, garbage, independent film","0","Drama, Comedy","fi","An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.","Villealfa Filmproduction Oy","Finland","76.0","Shadows in Paradise","7.1"
"android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism","11000000","Adventure, Action, Science Fiction","en","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","Lucasfilm, Twentieth Century Fox Film Corporation","United States of America","121.0","Star Wars","8.1"
"father son relationship, harbor, underwater, fish tank, great barrier reef, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father","94000000","Animation, Family","en","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Pixar Animation Studios","United States of America","100.0","Finding Nemo","7.6"
"vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee","55000000","Comedy, Drama, Romance","en","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","Paramount Pictures","United States of America","142.0","Forrest Gump","8.2"
"male nudity, female nudity, adultery, parent child relationship, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, bittersweet, affair","15000000","Drama","en","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","DreamWorks SKG, Jinks/Cohen Company","United States of America","122.0","American Beauty","7.9"
"journalist, newspaper, florida, capitalist, banker, media tycoon, art collector, sleigh, money, child","839727","Mystery, Drama","en","Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","RKO Radio Pictures, Mercury Productions","United States of America","119.0","Citizen Kane","8.0"
"individual, dancing, usa, robbery, factory worker, secret, factory, small town, dance, blindness and impaired vision, death penalty, immigrant, eye operation, eyesight, fantasy, naivety, self-abandonment, hereditary disease, loss of eyesight, czech, dying and death, van, friendship, murder, teacher, debt, execution, crime, police officer","12800000","Drama, Crime, Music","en","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.","Fine Line Features, Zentropa Entertainments, Danmarks Radio (DR), SVT Drama, Arte, Memfis Film, France 3 CinГ©ma, Angel films, TV 1000, Canal+, Constantin Film Produktion, Yleisradio (YLE), Arte France CinГ©ma, Westdeutscher Rundfunk (WDR), Blind Spot Pictures Oy, Vrijzinnig Protestantse Radio Omroep (VPRO), Film4, Liberator Productions, Icelandic Film, Film i VГ¤st, Pain Unlimited GmbH Filmproduktion, Trust Film Svenska, Cinematograph A/S, What Else? B.V, Filmek A/S, Lantia Cinema & Audiovisivi","Argentina, Denmark, Finland, France, Germany, Iceland, Italy, Netherlands, Norway, Sweden, United Kingdom, United States of America","140.0","Dancer in the Dark","7.7"
"suicide, paradise, child abuse, sea, adolescence, wales, secret, underworld, shepherd, loss of child, sheep, single, mother daughter relationship, sect","0","Horror, Thriller, Mystery","en","AdГЁle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. AdГЁle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.","Constantin Film, Impact Pictures, Isle of Man Film, UK Film Council","Germany, United Kingdom","87.0","The Dark","5.6"
"clone, taxi, cyborg, egypt, future, stowaway, space travel, race against time, arms dealer, love, alien, priest, end of the world, good vs evil, shootout, police chase, cab driver, new york city, space opera, military, opera singer, resort hotel, ancient astronaut, archeologist, ancient evil, cruise liner","90000000","Adventure, Fantasy, Action, Thriller, Science Fiction","en","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.","Columbia Pictures, Gaumont","France","126.0","The Fifth Element","7.3"
"man vs machine, underground world, inventor, metropolis, worker, future, machine town, work, class society, dystopia, tower of babel, delirium, chase scene, mad scientist, prophet, robot, destruction, silent film, depravity, masterpiece, downtrodden, saviour","92620000","Drama, Science Fiction","de","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","Paramount Pictures, Universum Film (UFA)","Germany","153.0","Metropolis","8.0"
"farewell, responsability, dying and death, night shift, daughter, secret love, mother daughter relationship, woman director","0","Drama, Romance","en","A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.","El Deseo, Milestone Productions","Canada, Spain","106.0","My Life Without Me","7.2"
"surfer, surfboard, surfing","0","Documentary","en","The Endless Summer, by Bruce Brown, is one of the first and most influential surf movies of all times. The film documents American surfers Mike Hynson and Robert August as they travel the world during CaliforniaвЂ™s winter (which back in 1965 was off-season for surfing) in search of the perfect wave and an endless summer.","Bruce Brown Films","United States of America","95.0","The Endless Summer","7.8"
